sample_id,class_name
RfbXTxSx8jo_350,vgg_233
1rpJo68d5Qw_52,vgg_259
a_kgbg3eDAE_66,vgg_308
If1yxmaJ14M_170,vgg_21
Txu61YwnnJg_220,vgg_138
8m-a_6wLTkU_230,vgg_87
mfJ5bk_gGTU_50,vgg_209
_JZtEaCyxKA_19,vgg_184
4n_g-Qjy2n4_10,vgg_307
ZiQxjsEyPtQ_65,vgg_224
GS8dnIAHj2A_13,vgg_280
IAG9PZmTGD4_208,vgg_282
2b0eM8lWGCQ_30,vgg_166
R4b_-IT43P4_30,vgg_29
K6UW_LgkIjs_30,vgg_61
MHykFW1zgoA_121,vgg_106
5s_yHWgA1O0_199,vgg_175
ZvOrojEQueY_101,vgg_230
M428cu9VTT8_26,vgg_306
UPrYFfu-EXs_130,vgg_179
KwoVfQeJmiE_73,vgg_123
N1IM3f-TN4o_0,vgg_280
TA-O_bVnvLY_540,vgg_105
N7tVUQOobkY_289,vgg_174
toTu8BntJPg_17,vgg_176
zMBLINM7_hY_243,vgg_199
UxZYiE92UYQ_152,vgg_266
DBxaCgkkBrA_1,vgg_246
xl31V1yQ2Dw_59,vgg_158
nbdm5Cs2ug4_6,vgg_290
Ii5LaYj2il4_341,vgg_94
wr72HohtJ6Q_25,vgg_17
89t0486uIfo_90,vgg_100
XaUXJG0BZuk_0,vgg_29
G4fTKotMoWI_30,vgg_21
Daa2SyGiFBA_361,vgg_221
8bakI0ITCqQ_30,vgg_55
4DKN1qAMQig_21,vgg_106
yzPMm0wRN-E_194,vgg_296
K7CQ6G0ILFQ_61,vgg_142
x0-ldlMh_TE_24,vgg_117
qDXFW2kemrE_310,vgg_139
8rmoYAfr0t8_10,vgg_162
JRIKh0r_We8_98,vgg_198
3m6g0rfn2T0_136,vgg_106
AF7OSOdwhG8_311,vgg_234
EqkH0kLuIic_54,vgg_124
dR3KEENsVbs_0,vgg_32
18aaA2efGng_370,vgg_180
Y8JWmw7VjtI_317,vgg_172
aHEAK0iWqKk_200,vgg_32
U-Qe9aNkrdE_30,vgg_10
6sAJzjJ6ujE_592,vgg_290
ELvsokKcydM_30,vgg_270
rffMu_Y9rSY_480,vgg_211
BjqhHeJD28U_30,vgg_29
bB4nqJqHFQI_20,vgg_229
jFW5R2k4LWA_36,vgg_64
YSsLH9_cisM_236,vgg_243
H9JA9CibQmU_210,vgg_161
tej3zK91UVQ_208,vgg_234
GbI7rZa22Zs_52,vgg_230
Iy47-2ecO1g_250,vgg_198
LcFXCaPmvbU_155,vgg_276
tJJ8UdNSDqc_21,vgg_221
_1TjLs6_Geo_13,vgg_51
INQWH7mOGeQ_30,vgg_137
Pkm7v1pHu6Y_30,vgg_8
9rXAmXuAOw8_0,vgg_61
QJG6m9_iLBc_182,vgg_267
WMPQ44bukK0_397,vgg_172
FDHKDDeamFw_169,vgg_195
2T8OhRXZDTs_30,vgg_182
y0d6Crj5U8g_69,vgg_158
Fsu8KjtWhPo_3,vgg_274
IwqNzs5BSvs_46,vgg_232
LZetbWJ01Oc_310,vgg_171
7h4P7aVNY4s_260,vgg_35
KBmULhoBXDY_10,vgg_225
DIAS8gDM8Hg_3,vgg_219
JdwokttDLSk_180,vgg_123
bOOJRGRy0zc_30,vgg_149
E4-TY_C4TaI_194,vgg_184
Jix2dM4O0jQ_361,vgg_67
ayrzdxBwzGw_80,vgg_171
DcbzE8AnLcE_30,vgg_79
-NQl3o-CGwY_98,vgg_176
TOJwVO7qO-4_384,vgg_275
8FZM56axVms_81,vgg_176
kO8TVRcXI98_303,vgg_176
o0Bn4m6dQbI_100,vgg_20
6s2pBWctGDM_6,vgg_306
vhKjv9GuARQ_13,vgg_234
8zuOvjviOvc_170,vgg_202
0EyJ15KLxg4_390,vgg_47
orZvoPflJOY_107,vgg_233
zZKrLJQmzDI_95,vgg_285
UCgErb1ImPY_31,vgg_267
2Oe5kao1ycY_310,vgg_58
PMhc4UyYwVg_55,vgg_300
D8LW5sTsIlc_30,vgg_101
d_zeI_sbGB0_93,vgg_73
S9x1Kop188c_253,vgg_214
u_Nxu8TvonA_580,vgg_65
-Y-UegG9tLw_282,vgg_94
aESAKt3teu0_30,vgg_274
-njdG2dcQx0_220,vgg_196
NEm4vbonbH4_76,vgg_146
z0e087_wzsY_21,vgg_109
Q5o7RYwXkvI_70,vgg_131
ZDtQSsioywU_958,vgg_287
JHL7f0njYzY_293,vgg_86
lLdaRlWf2GU_40,vgg_147
2Wk4Y3_dMuc_440,vgg_202
cfsOIuZ9G9k_52,vgg_86
EfT8xJFLSV4_77,vgg_122
YLduYJDnL5c_10,vgg_200
QpNmxMqXqBQ_66,vgg_62
rW0Vwotvx3s_119,vgg_51
j42ETHcp044_0,vgg_91
fGLsqnEJTKk_280,vgg_2
wDg2v3NuCoQ_75,vgg_267
garZ8KkuBds_220,vgg_44
EasrMXvai0o_68,vgg_134
i3zayf6Hiog_30,vgg_151
Y3AK50PotkQ_30,vgg_270
1bIH_Qh_clk_30,vgg_53
QaL51pYn4uQ_20,vgg_31
b71sYw2hZB0_30,vgg_207
MhXao_uVwqk_124,vgg_170
5A0sMC5olxI_380,vgg_36
lWcI81hX8p4_18,vgg_136
mhCzYK5JCBM_30,vgg_159
xwrpD8jQupw_81,vgg_292
XS_Nwd8dxE0_30,vgg_2
BwJ2YYLFwTc_118,vgg_103
niO21pQgixA_1,vgg_134
_WCpjcXIYzA_10,vgg_194
baayJxbQepY_188,vgg_168
0SnjS2w_c80_520,vgg_27
7l_TPfOhh5c_570,vgg_4
SdtxQcBJjBs_60,vgg_34
U2Z3gH8r1hE_160,vgg_167
_Bvc901F7Ig_110,vgg_278
Avx2pHZBLbA_34,vgg_255
_1vudgh5RpE_59,vgg_74
nbS9NjA7Ywg_78,vgg_210
5xVe-bGbbYA_45,vgg_70
jBv48uOrgbs_320,vgg_40
cSAIhmcH4oY_81,vgg_266
8EVe2kmFADM_87,vgg_134
h_hwxcgSr3g_31,vgg_208
hcOkk03PnZE_110,vgg_110
GDXalnUbHYY_31,vgg_273
-S-TDT5oq0Q_290,vgg_132
UILmgKExLgk_95,vgg_226
cRvAv1Nn-WQ_43,vgg_273
fYhJdb8ka3k_30,vgg_173
17K-oEuH1p0_20,vgg_207
mXhgTalUktk_540,vgg_183
2sKmbnOi5S0_6,vgg_49
SVoLykPMwAs_30,vgg_2
R4jlQEweREY_30,vgg_27
F4JohaJr23s_72,vgg_68
KykQTH0dlwE_590,vgg_22
-JTbHL7OKf0_52,vgg_192
lAA0QneMahs_38,vgg_298
lO1rUT_MTjk_210,vgg_10
iya-ib62ETE_23,vgg_290
NXgo0uXN5e4_76,vgg_218
e5ME1cZa2Yk_45,vgg_296
5KdvPp1_JeI_184,vgg_204
VdruTK0Xpik_20,vgg_65
Ms-M0gM_Sy8_30,vgg_38
9nVNtRGU-rg_270,vgg_108
_-7I00cZUE0_64,vgg_15
_Q-g-HiVEGU_0,vgg_166
I7QODcpToew_80,vgg_78
NfOHjeI-Bns_210,vgg_182
2U5f3uTl7qg_167,vgg_117
D8BQyUNbIps_116,vgg_246
KYJrBYZ_EJI_66,vgg_73
d3gMwtMK6Gs_30,vgg_91
3PD-JrOG1WA_0,vgg_223
Cp_wgmmliuk_210,vgg_25
3xDZU7GME7E_170,vgg_108
cIjZv7BPYew_9,vgg_67
ikJKSqnTylI_70,vgg_33
jU0LDjmqrRw_30,vgg_66
n7QAOoPX6yw_3,vgg_51
RSPZSkLWsH4_79,vgg_186
U3Zom0wPRg0_30,vgg_110
5b_wMMwPlbY_110,vgg_183
GFkB9Par4M8_580,vgg_3
FLb3rJLGH9o_30,vgg_61
ZV9-hp6TMug_0,vgg_46
KYn98MMX3pg_213,vgg_174
wOzgCyoi9l8_6,vgg_120
LF-5BAUGvWI_30,vgg_149
VfXAJJFrmnw_28,vgg_276
yOq3d33TSic_240,vgg_85
F-bjopMLAo4_90,vgg_216
RdhHK4SbzTo_30,vgg_23
K2nicVw_XRM_89,vgg_136
EsLDe5fYDrs_80,vgg_102
eSKFXcMdFXI_606,vgg_231
DPcGzqHoo7Y_30,vgg_147
WCUOOS-CtZI_114,vgg_48
NdYDEnBhiSE_18,vgg_192
mLaon9oK1OA_30,vgg_13
GjoBV2mf8jo_131,vgg_304
rkaM1yOncZ4_0,vgg_144
J2nDnAerah0_30,vgg_12
yNqzpXyIB1o_30,vgg_294
72baZt5rKAs_260,vgg_120
ABf_0EVfFR0_40,vgg_209
uAcYglB_pRw_390,vgg_262
LA91bTw_08Q_203,vgg_123
vGxfIpG97dU_30,vgg_14
8q8JrJNAa-Q_30,vgg_8
fwKMB57hL6E_97,vgg_81
X1aRTyM821w_24,vgg_140
O4xrL3f3z4M_17,vgg_228
aUVT2tUbPN8_187,vgg_253
qYjhJeSVJ2A_30,vgg_41
96a4smrM_30_30,vgg_193
2MPvlAR1AJM_39,vgg_97
NjazulpHxNY_20,vgg_203
-2xiZDEuHd8_30,vgg_205
-7tYmeOmsRg_180,vgg_206
OPHQZIBdXo8_23,vgg_98
qYMsdQCggKI_229,vgg_247
IwqD859w2_E_30,vgg_21
cCVd_I1M_fs_30,vgg_194
D2KrgDuU3K8_100,vgg_2
Lep1tjEIkJc_30,vgg_31
4WH0ZxvF9Nw_3,vgg_230
jjkB91FBcBI_119,vgg_295
B7WXCogPmmg_135,vgg_28
DhiZ6pZ8LEc_170,vgg_153
UyCfhj3LXVk_2,vgg_270
VV-DgnPPhSo_220,vgg_9
rLmNuF9xTPI_30,vgg_173
17yDXvJTdeo_603,vgg_172
M5muPmmToqQ_56,vgg_232
3vDDWN5GKAA_139,vgg_64
2j9izxhyFlI_35,vgg_252
5a1tM6p8Gw4_0,vgg_249
pGnTEZvUcuo_163,vgg_157
GGqC1H9BeTg_180,vgg_214
yAE-9UhBWzY_24,vgg_74
EJ8CM855AjA_107,vgg_265
BRhvg3c0Jq4_30,vgg_21
SmtW2FlpPX4_57,vgg_216
1OFDyTzUj24_30,vgg_14
pi2Vyqa-wgE_87,vgg_150
3XC4QOoRjB4_240,vgg_26
p3wyCHIAO7A_109,vgg_228
5kPVERHWpVI_93,vgg_234
0uMEyyhzaqU_34,vgg_256
nygHRktgEmw_160,vgg_254
hrqspJV1DT8_79,vgg_160
aIVgkJHeLGQ_53,vgg_217
0KAeUAAoVnY_143,vgg_218
_P96ibCmCt0_140,vgg_130
04QV0Xi5YTk_30,vgg_182
Euu6zlJQSD0_30,vgg_149
xS-OFkC0Yzc_21,vgg_296
6yAVCOMXo1I_522,vgg_220
LI85dkBB3Ho_30,vgg_19
QJAlLhhyawA_70,vgg_208
UWFjhEYXbbU_9,vgg_137
pFgm8rJ27eg_60,vgg_225
lGjXKrsWDYc_8,vgg_186
XA9I4QiBuWQ_132,vgg_118
FfwAkXR6JMc_25,vgg_244
MCzczL9r3jo_110,vgg_209
1CZ-bybGzu4_30,vgg_18
IiYSoGSDUY8_30,vgg_52
GEwEOl3uxC4_250,vgg_11
amniAzV2-jM_30,vgg_45
uilGckGTlxE_28,vgg_273
0dC6Ay0oqWk_30,vgg_182
dW-rmWpBj88_520,vgg_143
Sj9_5H1nqfo_200,vgg_0
a7WAfwKi88Q_30,vgg_167
AKmkhvb9shk_0,vgg_289
U9oonzVSTtY_56,vgg_120
YjNQ5TGRChs_30,vgg_237
MAhYAMZ50VI_100,vgg_83
eMQu7p-mw8I_467,vgg_103
02UvvE1oA1I_30,vgg_270
HwaeZS9P6GI_180,vgg_40
d8hPjmvBv5I_251,vgg_293
SM6m56nzTWM_7,vgg_81
MfavlJej70A_30,vgg_10
jqqjc0XrU58_92,vgg_212
KRKX_UtYV9c_30,vgg_27
C6Ex7oHBFdU_30,vgg_126
HVHe2kibCQU_19,vgg_240
nqnviB5WXSM_30,vgg_200
10hGfv89L3g_30,vgg_162
1MTKUN3uFrs_440,vgg_11
lEOsGdslGO0_397,vgg_261
LQsjgYb7i90_68,vgg_269
4z8HTrCvEsc_97,vgg_42
EIZAcxAVS5E_429,vgg_72
MwW0f2xh-fE_0,vgg_72
fCdjNwWJ5y4_115,vgg_84
As1qH-6EF4I_30,vgg_139
Mynx_hExwJw_62,vgg_251
-hYRFCQdbLg_30,vgg_189
j1PrEuMq-_M_0,vgg_130
7OqOXtp8_tk_30,vgg_60
98DR68euGmo_79,vgg_146
9y2BI6yaNkA_114,vgg_280
WO7xbZEsKvc_131,vgg_221
Sgdq22nyfTM_240,vgg_58
EhvCJi5Zbsw_88,vgg_198
A-AoGf9gIW8_521,vgg_249
Awtmlyq0MY8_30,vgg_45
CUcsXLZhXfk_21,vgg_220
VM-U7MyZAck_30,vgg_23
l1NjISbLXY8_214,vgg_48
Izv4moMRA94_310,vgg_38
ddAkcDFK2mg_45,vgg_62
EVX-0lgG7Zo_120,vgg_34
ZQ_d8kWsrUc_637,vgg_116
J5wBPfpzJgE_0,vgg_145
Q1yfkoqvz_Q_0,vgg_243
xUh3zW3bkNU_5,vgg_37
ZlIOKvEp1so_3,vgg_37
W6hBBs-MuM8_145,vgg_69
1rtXsGC-q3Q_30,vgg_8
Hn0UhOnyeJ0_225,vgg_296
wV7rzsXOBHA_292,vgg_123
eSKFXcMdFXI_716,vgg_231
DG3jA6Fswak_29,vgg_164
86tDkNq1rvg_245,vgg_275
ia8IrM5BKBU_176,vgg_293
gwkS8ABnslI_258,vgg_264
-z3n74RK92U_6,vgg_63
A8rklgn3N4A_28,vgg_227
ysNo8BAeNoE_37,vgg_273
dulZ4FPi7gg_170,vgg_43
RhzsxX39VMU_30,vgg_40
BBRDRggGsdk_147,vgg_239
OnJaLTDVxjQ_240,vgg_43
8ZOyve_7Nzs_99,vgg_71
00z0M1DJyAw_90,vgg_147
J8s8gIg1UFw_103,vgg_68
RyOySHPhn0o_200,vgg_34
BuhCuSnq6DI_90,vgg_155
DVDQyIt56nQ_200,vgg_60
Xv2Ba8LoD9U_174,vgg_243
fzjl3I47rFQ_77,vgg_134
bOtUES6eNxs_10,vgg_65
3iQ_xRurgS8_30,vgg_166
heZw1TTrtTU_80,vgg_153
NFkZs_B6Cew_6,vgg_115
qbRZ67ynqp0_50,vgg_185
Ml6KsMRQz1g_0,vgg_273
QYY8g4sMVWU_30,vgg_1
YuvRe690m2I_30,vgg_53
KXVWbk9RRRs_30,vgg_189
_snV8otOVmg_293,vgg_210
f6wrXzvByrg_30,vgg_22
EqpfVJpHMD8_390,vgg_25
QejVyYvjrrs_10,vgg_125
40fIOkLK3j4_60,vgg_203
OH2SQhJqZDg_0,vgg_151
XLVBUXkAlJ0_27,vgg_178
o9b54vMIu7c_0,vgg_136
dCMSLNyb8OA_40,vgg_240
GeUJHkgzFSE_12,vgg_163
B8-2EKrNwzo_120,vgg_137
4BUKAcdGfaI_9,vgg_42
rq4oQdSxrnI_79,vgg_74
Quqx2Iga5b8_86,vgg_261
7yjEC7Cr6i8_30,vgg_31
bydY3lfv7mY_44,vgg_249
uLh3QMVr7og_39,vgg_292
sKglR9n1aFg_30,vgg_93
h_U-Seegsmo_18,vgg_266
QAK2QJ2_8WA_57,vgg_283
al7bGtNVe4E_161,vgg_216
GQge_Yn-SLM_40,vgg_305
vZPygZ5oN2s_170,vgg_33
Xus0LI3QV2A_30,vgg_122
WZ2ubteeq-A_247,vgg_67
1ENC2smc8Ig_30,vgg_101
OVhPqvG0ezA_40,vgg_93
EaiB4-Dizms_470,vgg_33
ybVxvQg1M4Y_196,vgg_73
TIL8jEw8pSc_30,vgg_3
ZT3jQW3tvt0_15,vgg_135
mKEJRZtNx9o_44,vgg_289
Zgogkej7gHg_149,vgg_186
RKIrnYwFosg_352,vgg_56
O1RmrE_HfpE_30,vgg_27
Amd-OLa3tMI_30,vgg_58
-KqXcm-I2zY_87,vgg_225
TG_3zVMwyu0_40,vgg_260
3T7FYQRx0YM_54,vgg_208
fwKMB57hL6E_56,vgg_81
3LulQoOXNB0_30,vgg_7
z05DpSC0KnM_1036,vgg_252
IlN12VWPl5o_40,vgg_139
5IGRrTij-24_30,vgg_46
PqlmyFDIeUM_39,vgg_114
DKX5QPMSjPQ_21,vgg_217
lWG8SRZKUhk_60,vgg_6
OjnIP1C1hMQ_125,vgg_218
HIDb-C5YRa4_10,vgg_136
Ykv1CiXNXLQ_134,vgg_77
bp-XBkdA4rM_385,vgg_115
7916WqcPKBA_30,vgg_104
i52hyDAEsgE_240,vgg_107
f0hBZBe9DmQ_30,vgg_173
c-vmzVd5nsE_14,vgg_208
KrPE9LQIwhU_184,vgg_144
Nayu_7okwmY_32,vgg_198
hAukn8dWZ2M_30,vgg_95
389leQkiGgk_150,vgg_47
kQ7tkcg8Xag_300,vgg_115
2W27eT4HqtE_10,vgg_133
ciZjHNKOozg_210,vgg_119
2VptepDtAZ4_71,vgg_81
dQfQGU2qF2w_117,vgg_279
XNzQVEmoJrY_30,vgg_48
9IMO27jHA6o_200,vgg_297
YpOHemscGCk_0,vgg_45
-D64b_8YJK4_46,vgg_216
uouMndiZtDc_120,vgg_194
-RUvAmkAcgw_707,vgg_57
GxnUY0u8fY8_30,vgg_164
r6jDIQQVXjc_263,vgg_291
HPOBl_BzybA_5,vgg_294
R97UPoZ9V08_263,vgg_195
